area_m2,precio,banios,alcobas,latitud,longitud,nombre_cliente
128.0,204800000.0,1,2,3.4472353313731166,-76.505563138553839,Nicole Rodriguez Garcia
128.0,204800000.0,1,4,3.4350487410679991,-76.515816132422984,Isabella Rodriguez Herrera
128.0,204800000.0,1,4,3.4384891018198176,-76.519401770183777,Valentina Arboleda Botero
95.0,114000000.0,1,3,4.62601165872822,-74.160335379363659,Samuel Quintero Garcia
95.0,114000000.0,1,3,4.6720121175060809,-74.154430597875276,Carlos Valencia Cano
114.0,228000000.0,1,2,4.7024352558217437,-74.104768490757053,Sofia Arboleda Montoya
114.0,228000000.0,1,3,4.71220864747634,-74.123418195489634,Diego Prieto Gonzalez
152.0,228000000.0,1,3,3.4468420671185478,-76.569640953751772,Isabella Castro Cifuentes
114.0,228000000.0,1,1,3.4319367863088708,-76.577931217675385,Diego Lopez Gonzalez
114.0,228000000.0,1,4,3.4355637715700822,-76.582471662415045,Antonia Gomez Jaramillo
114.0,228000000.0,1,3,4.7042180416364605,-74.156343387336833,Santiago Lopez Quintero
152.0,228000000.0,1,4,3.4403051860033322,-76.576353513714793,Nicolás Gomez Gonzalez
190.0,228000000.0,1,2,4.66964954234017,-74.189828844280413,David Patino Jaramillo
114.0,228000000.0,1,1,6.3228162838040509,-75.634217374089062,Sebastian Valencia Quintero
114.0,228000000.0,1,2,6.3506619976413141,-75.586278122194628,David Uribe Herrera
114.0,228000000.0,1,2,3.4324777495831258,-76.574160882950608,Laura Martinez Garcia
114.0,228000000.0,1,4,4.5410718129766758,-74.0717563982153,Lucas Diaz Herrera
114.0,228000000.0,1,3,4.5831305613629443,-74.112286681523571,Marcela Hernandez Mendoza
114.0,228000000.0,1,1,4.5579341229940393,-74.078193778012874,Carlos Valencia Botero
190.0,228000000.0,1,4,4.6976426445558817,-74.1694814199528,Nicolás Arrieta Mendoza
190.0,228000000.0,1,1,4.6727981677915169,-74.17197113626159,Daniel Arboleda Osorio
114.0,228000000.0,1,3,4.7483084015689929,-74.146719376642778,Sebastian Arboleda Villa
114.0,228000000.0,1,2,4.6875425425474244,-74.14813878058041,Carolina Perez Osorio
114.0,228000000.0,1,2,4.6992951330310193,-74.143515933151946,Santiago Quintero Guerrero
114.0,228000000.0,1,4,6.3153857308340546,-75.611701085868447,Nicole Rodriguez Herrera
114.0,228000000.0,1,1,4.5502881822055032,-74.131108216133072,Samuel Martinez Ramirez
114.0,228000000.0,1,3,6.3327492243555357,-75.629416822750045,Laura Perez Acosta
152.0,456000000.0,1,2,4.7754084827355383,-74.082714989401438,Santiago Lopez Salazar
152.0,456000000.0,1,2,4.7954331486074908,-74.060573875671381,Sofia Rodriguez Herrera
114.0,456000000.0,1,1,6.2042267214270748,-75.580326699890293,Andres Uribe Salazar
114.0,456000000.0,1,2,6.1912983965967534,-75.5779185751416,Lucas Valencia Garcia
114.0,456000000.0,1,4,6.1926503900299812,-75.5727141805662,Valentina Uribe Restrepo
152.0,456000000.0,1,2,4.8014128032031946,-74.061679544371685,Laura Diaz Villa
152.0,456000000.0,1,2,4.8036641730173644,-74.049974857076961,Sebastian Uribe Cifuentes
114.0,456000000.0,1,2,6.2179509560553328,-75.592901974856673,Nicole Gomez Alvarez
152.0,456000000.0,1,3,4.7638219325979367,-74.057450405154839,Juliana Diaz Osorio
152.0,456000000.0,1,3,4.7472946595671122,-74.059194998738079,Maria Torres Jaramillo
98.0,137200000.0,1,3,3.420455050798366,-76.52934077431803,Marcela Perez Restrepo
98.0,137200000.0,1,2,3.4171282221146266,-76.525744874181285,Maria Prieto Herrera
98.0,137200000.0,1,2,3.4202837192827311,-76.533962494548419,Maria Quintero Cifuentes
98.0,137200000.0,1,1,3.4017383313434961,-76.533230284699457,Nicole Velez Munoz
196.0,274400000.0,1,2,3.4055585107864355,-76.531398613790913,Antonia Castillo Guerrero
196.0,274400000.0,1,4,3.39713444846253,-76.517153744026814,Camila Lopez Mendoza
98.0,274400000.0,1,4,4.6789219853350854,-74.07002578457535,Marcela Castro Herrera
196.0,274400000.0,1,4,3.4073007035454106,-76.529492362402877,Carolina Diaz Garcia
98.0,274400000.0,1,3,4.6481840004045027,-74.064067699997423,Carlos Lopez Herrera
196.0,548800000.0,1,2,4.6749035275922486,-74.069037233996966,Juliana Quintero Ramirez
196.0,548800000.0,1,3,4.671160362186181,-74.0710249509498,Antonia Arboleda Cifuentes
93.0,148800000.0,1,4,3.4342639325550404,-76.506915310405788,Andres Torres Jaramillo
124.0,148800000.0,1,4,4.6710551111151375,-74.163718388644043,Camila Arrieta Jaramillo
93.0,148800000.0,1,3,3.4412431303917139,-76.506163176990853,Antonia Moreno Munoz
124.0,148800000.0,1,2,4.6969836180908615,-74.175049975970722,Juan Arrieta Mendoza
124.0,148800000.0,1,3,4.6226457522361333,-74.151213907434382,Daniel Ortiz Jaramillo
186.0,297600000.0,1,2,3.4437348243599089,-76.507050013545552,Laura Ortiz Restrepo
186.0,297600000.0,1,1,3.4466657067806152,-76.51819980633951,Juan Patino Jaramillo
157.0,251200000.0,1,1,3.432249268225811,-76.5203049674333,David Martinez Jaramillo
157.0,251200000.0,1,4,3.4419142922898982,-76.513964459761112,Nicole Velez Gonzalez
157.0,251200000.0,1,3,3.4358739950980013,-76.506809686929,David Castro Cifuentes
157.0,251200000.0,1,4,3.4362527264159595,-76.497141447792231,Juliana Arrieta Villa
146.0,262800000.0,1,4,3.4267949788808529,-76.551812229987661,Juliana Fernandez Munoz
146.0,262800000.0,1,1,4.5900247669167493,-74.128079836394889,Carolina Valencia Lopez
